"C:\MY_BACKUP\LearningStuff\Udemy Full Stack\newGithubHostedSite\rgbk21.github.io\rgbk21.github.io\.venv\Scripts\python.exe" "C:\MY_BACKUP\LearningStuff\Udemy Full Stack\newGithubHostedSite\rgbk21.github.io\rgbk21.github.io\transcribe.py"
C:\MY_BACKUP\LearningStuff\Udemy Full Stack\newGithubHostedSite\rgbk21.github.io\rgbk21.github.io\.venv\Lib\site-packages\whisper\transcribe.py:132: UserWarning: FP16 is not supported on CPU; using FP32 instead
  warnings.warn("FP16 is not supported on CPU; using FP32 instead")
[00:00.000 --> 00:06.000]  Wszystkie słowa są jasne.
[03:37.900 --> 03:40.900]  Ale czasami RELAKSOWACI SIĘŁ
[03:40.900 --> 03:42.900]  i OSPOTRZEBAĆ są dokładnie takie samo.
[03:42.900 --> 03:44.900]  Więc nie mam pojęcia.
[03:44.900 --> 03:47.900]  Ale nie wiem czy jest jakiś
[03:47.900 --> 03:49.900]  specyficzny powód.
[03:49.900 --> 03:53.900]  To jest tylko miejsce.
[03:53.900 --> 03:55.900]  Nie wiem, dlaczego...
[03:55.900 --> 03:57.900]  Ja nie wiem.
[03:57.900 --> 03:58.900]  Nie wiem.
[03:58.900 --> 04:00.900]  Dlaczego ja jestem jedynym?
[04:00.900 --> 04:03.900]  Każdy z nas rozumie wszystko.
[04:03.900 --> 04:05.900]  Nie, to znaczy...
[04:05.900 --> 04:08.900]  Tak, masz rację, ale to jest to samo.
[04:08.900 --> 04:10.900]  Uczyciel.
[04:10.900 --> 04:12.900]  To po prostu istnieje.
[04:12.900 --> 04:13.900]  Musisz to po prostu zdjąć.
[04:13.900 --> 04:14.900]  Tak.
[04:14.900 --> 04:15.900]  Uczyciel.
[04:15.900 --> 04:16.900]  Udostępnić siebie.
[04:16.900 --> 04:17.900]  Ok.
[04:17.900 --> 04:19.900]  Nie mam innych pytań.
[04:19.900 --> 04:22.900]  Dobrze.
[04:22.900 --> 04:23.900]  Na stręście.
[04:23.900 --> 04:25.900]  Wiesz co to znaczy?
[04:25.900 --> 04:26.900]  Ok.
[04:26.900 --> 04:27.900]  Na stręście.
[04:27.900 --> 04:28.900]  Na stręście.
[04:28.900 --> 04:29.900]  Na stręście.
[04:29.900 --> 04:30.900]  Na stręście.
[04:30.900 --> 04:31.900]  Ok.
[04:31.900 --> 04:32.900]  Na stręście.
[04:32.900 --> 04:33.900]  Ok.
[04:33.900 --> 04:41.900]  Czy jeszcze jakieś nowe słowa?
[04:41.900 --> 04:46.900]  Wiesz, wszystkie moje pytania są na temat
[04:46.900 --> 04:49.900]  struktury, której nie chcę zapytać,
[04:49.900 --> 04:51.900]  bo nie myślę, że zrozumiem,
[04:51.900 --> 04:52.900]  jeśli wyjaśnisz.
[04:52.900 --> 04:53.900]  Więc...
[04:53.900 --> 04:54.900]  Więc...
[04:54.900 --> 04:55.900]  Mogę spróbować,
[04:55.900 --> 04:56.900]  ale czasami...
[04:56.900 --> 05:01.900]  Nie, bo myślę, że nie wiesz, co nie wiemy, prawda?
[05:01.900 --> 05:02.900]  Tak.
[05:02.900 --> 05:09.900]  Więc może się coś wyjaśni, wierząc, że już wiemy ten koncept, ale w naszym głowie jesteśmy tak, co się stało, prawda?
[05:09.900 --> 05:10.900]  Ok.
[05:10.900 --> 05:11.900]  Ale możemy spróbować.
[05:11.900 --> 05:13.900]  Bo zrobimy coś.
[05:13.900 --> 05:16.900]  Nie wiem, co to jest?
[05:16.900 --> 05:17.900]  Rela...
[05:17.900 --> 05:18.900]  Rela...
[05:18.900 --> 05:19.900]  Rela...
[05:19.900 --> 05:20.900]  Rela...
[05:20.900 --> 05:21.900]  Rela...
[05:21.900 --> 05:22.900]  Rela...
[05:22.900 --> 05:23.900]  Rela...
[05:23.900 --> 05:24.900]  Rela...
[05:24.900 --> 05:25.900]  Rela...
[05:25.900 --> 05:26.900]  Rela...
[05:26.900 --> 05:27.900]  Rela...
[05:27.900 --> 05:28.900]  Budyicio...
[05:28.900 --> 05:29.900]  Rela...
[05:29.900 --> 05:30.900]  Rela...
[05:30.900 --> 05:31.900]  Rela...
[05:31.900 --> 05:32.900]  Rela...
[05:32.900 --> 05:33.900]  Rela...
[05:33.900 --> 05:34.900]  Rela...
[05:34.900 --> 05:35.900]  Rela...
[05:35.900 --> 05:38.900]  Dobra, to jeszcze.
[05:39.900 --> 05:40.900]  Dziękuję.
[05:40.900 --> 05:43.900]  Nie chcę pracować tak wiecznie.
[05:43.900 --> 05:46.900]  A wiadomo, że zdarza zatem balansWilliam...
[05:46.900 --> 05:49.900]  Jak pan mówił, że różnie Amber to lepiej wymyślić,
[05:49.900 --> 05:50.900]  ale 얘�ken...
[05:50.900 --> 05:53.700]  Może też nie mi żebym � worm competitor ale kiedy wymyślił...
[05:53.700 --> 05:54.900]  Ten Buck trailer nie jestдо banker, jest za to.
[05:54.900 --> 06:00.900]  Więc ta słowa zawsze mnie zaskakuje. Co to znaczy, że jest to już?
[06:00.900 --> 06:09.900]  Jakoś czasami zapytasz coś i powiesz, czy jest to już, a ktoś odpowiada, że jest już.
[06:09.900 --> 06:14.900]  Nie rozumiem tego słowa, jak to używać.
[06:14.900 --> 06:19.900]  Kiedy to oglądam w dyktywach, to jest 20 różnych znaczeń.
[06:19.900 --> 06:22.900]  Tak, dlatego jest to zaskakujące.
[06:24.900 --> 06:32.900]  Z Tobą bym powiedział, że w sytuacji, kiedy zapytam, czy coś jest już, to jest już.
[06:32.900 --> 06:36.900]  Już to znaczy, że już.
[06:36.900 --> 06:42.900]  Teraz na szczęście już czyjeś jest objawy.
[06:42.900 --> 06:45.900]  Już, zakończone.
[06:45.900 --> 06:47.900]  W końcu?
[06:47.900 --> 06:49.900]  W końcu.
[06:49.900 --> 06:53.900]  Nie będę odpowiadał na takie kwestie.
[06:53.900 --> 06:55.900]  Czy możesz coś z tym zrób?
[06:55.900 --> 06:57.900]  Możesz.
[06:57.900 --> 06:58.900]  Mogę?
[06:58.900 --> 07:00.900]  Zależy od pytania.
[07:00.900 --> 07:02.900]  Ok.
[07:02.900 --> 07:11.900]  Kiedy ktoś zapyta, czy jesteś gotowy, bo nie żyjesz, możesz powiedzieć, że już, daj mi tylko 2 minutki, jestem już gotowa.
[07:11.900 --> 07:15.900]  Ok, więc już to znaczy, że już jestem gotowa?
[07:15.900 --> 07:17.900]  W niektórych sytuacjach, tak.
[07:17.900 --> 07:18.900]  Ok.
[07:18.900 --> 07:22.900]  Ja bym powiedziała, że już to jest w związku z czasem.
[07:22.900 --> 07:30.900]  Kiedy coś jest gotowe, czy jest już gotowe, gotowy do pracy, gotowy do życia, gotowy do czegoś.
[07:30.900 --> 07:36.900]  Kiedy zapytam, już, kiedy robisz jakiś egzercizm, zapytam go, czy już to jest już.
[07:36.900 --> 07:38.900]  Ok, już.
[07:38.900 --> 07:41.900]  Więc mamy też wytrzymać, już.
[07:49.900 --> 07:50.900]  Która była Twoja pytanie?
[07:50.900 --> 07:51.900]  Wytrzymać.
[07:51.900 --> 07:59.900]  Kiedyś byłem w klasie dla Rosy, i samochód przychodzi, i ktoś mówi, że już, już, już.
[07:59.900 --> 08:00.900]  Tak?
[08:00.900 --> 08:01.900]  Tak.
[08:08.900 --> 08:09.900]  Nie wiem.
[08:09.900 --> 08:11.900]  Nie było takiego.
[08:11.900 --> 08:14.900]  To było w kontekście.
[08:14.900 --> 08:15.900]  W kontekście.
[08:15.900 --> 08:16.900]  Tak.
[08:16.900 --> 08:18.900]  Byłem pracując z...
[08:18.900 --> 08:21.900]  Jeden z nas był za mną, rozmawiał z moim synem.
[08:21.900 --> 08:22.900]  Tak.
[08:22.900 --> 08:25.900]  Więc on był, tak, rąkając do Rosy, że...
[08:25.900 --> 08:27.900]  Już, już, już.
[08:27.900 --> 08:29.900]  I ona powiedziała, że już, już, już.
[08:29.900 --> 08:30.900]  I pokazała mu ten samochód.
[08:30.900 --> 08:31.900]  Tak.
[08:31.900 --> 08:34.900]  Więc to jest dokładnie przeciwko temu, co...
[08:34.900 --> 08:37.900]  Tak, więc ja rozumiem, że to jest coś, co się dzieje.
[08:37.900 --> 08:38.900]  Tak, tak.
[08:38.900 --> 08:40.900]  Tak, tak, rozumiem.
[08:40.900 --> 08:41.900]  Uff.
[08:42.900 --> 08:43.900]  Ok.
[08:43.900 --> 08:48.900]  Ok, myślę, że to, co on mówił, to znaczy...
[08:48.900 --> 08:49.900]  On mówił, że...
[08:49.900 --> 08:53.900]  On powiedział mu, że już, tak...
[08:53.900 --> 08:55.900]  Moja opinia...
[08:55.900 --> 08:56.900]  Tak, tak.
[08:56.900 --> 08:57.900]  Tak, tak.
[08:57.900 --> 08:59.900]  Poczekaj trochę, a potem możesz iść.
[08:59.900 --> 09:02.900]  Poczekaj, a potem później.
[09:04.900 --> 09:08.900]  Ale to jest bardzo interesujące, ta sytuacja.
[09:11.900 --> 09:13.900]  Tak, ja bym powiedziała, może, może poczekaj.
[09:13.900 --> 09:14.900]  Poczekaj, poczekaj.
[09:14.900 --> 09:17.900]  Poczekaj, a potem w końcu możesz coś zrobić.
[09:17.900 --> 09:18.900]  Ale to jest bardzo...
[09:18.900 --> 09:24.900]  Ale to jest bardzo ekstremalna sytuacja.
[09:24.900 --> 09:26.900]  Ok, jedna ostatnia pytanie.
[09:26.900 --> 09:27.900]  Tak?
[09:27.900 --> 09:28.900]  Więc, tak...
[09:28.900 --> 09:35.900]  Tak, to jest tylko z z z z z z z z z z z z z z z z z z z z z z z z z z z z z Z z z z e z z e z z e z e z z e z e z
[09:35.900 --> 09:36.900]  na końcu na kontynuację, prawda?
[09:36.900 --> 09:37.900]  Czy to jest inne słowo?
[09:37.900 --> 09:38.900]  Tak.
[09:38.900 --> 09:39.900]  Tak, tak.
[09:39.900 --> 09:40.900]  Tak, tak, tak.
[09:40.900 --> 09:41.900]  Tak.
[09:41.900 --> 09:42.900]  Tak, tak.
[09:42.900 --> 09:43.900]  Tak, tak.
[09:43.900 --> 09:44.900]  Tak, tak.
[09:44.900 --> 09:45.900]  Tak, tak, tak.
[09:45.900 --> 09:46.900]  Tak, tak.
[09:46.900 --> 09:47.900]  Tak, tak.
[09:47.900 --> 09:51.900]  Jest to po prostu to samo E.
[09:51.900 --> 09:55.900]  Czy to jest inna wersja niż Z?
[09:55.900 --> 09:57.900]  Czy moja pytanie jest nieprawda?
[09:57.900 --> 09:59.900]  Aha, myślę, że wiem.
[09:59.900 --> 10:03.900]  Próbuję znaleźć tę pytaną.
[10:03.900 --> 10:05.900]  Pierwsza linię.
[10:05.900 --> 10:07.900]  Przepraszam, że tak długo. Pierwsza linię.
[10:07.900 --> 10:09.900]  Okej.
[10:09.900 --> 10:11.900]  Czekaj.
[10:11.900 --> 10:13.900]  Czekaj.
[10:13.900 --> 10:17.900]  Czekaj. Pytasz mnie, czy to jest to samo jak to?
[10:17.900 --> 10:19.900]  Nie.
[10:19.900 --> 10:21.900]  Nie? Nie.
[10:21.900 --> 10:23.900]  To jest coś z kimś, z kimś,
[10:23.900 --> 10:25.900]  i to jest to.
[10:25.900 --> 10:27.900]  Więc...
[10:27.900 --> 10:31.900]  Przepraszam, że nie zapomniałam.
[10:31.900 --> 10:33.900]  Albo coś.
[10:33.900 --> 10:35.900]  Przepraszam.
[10:35.900 --> 10:37.900]  Przepraszam.
[10:37.900 --> 10:39.900]  O, i ostatnia pytanie.
[10:39.900 --> 10:41.900]  Pamiętam, że szukała nowej pracy.
[10:41.900 --> 10:43.900]  Że byłeś tak...
[10:43.900 --> 10:45.900]  Że ona była tak zbyt zbyt zbyt zbyt...
[10:45.900 --> 10:47.900]  Więc to jest to.
[10:49.900 --> 10:51.900]  Okej. To.
[10:51.900 --> 10:53.900]  Aha.
[10:53.900 --> 10:55.900]  Więc co... jest to... jest to słowo dla tego?
[10:55.900 --> 10:57.900]  To było w ogóle?
[10:57.900 --> 10:59.900]  To było w ogóle?
[10:59.900 --> 11:01.900]  Jest słowo dla wszystkiego.
[11:01.900 --> 11:03.900]  Oczywiście. Moja pytanie jest, jak byś...
[11:03.900 --> 11:05.900]  jak byś przetłumaczył?
[11:05.900 --> 11:07.900]  To jest...
[11:07.900 --> 11:09.900]  to jest mój...
[11:09.900 --> 11:11.900]  telefon.
[11:11.900 --> 11:13.900]  Ten...
[11:13.900 --> 11:15.900]  Ten!
[11:15.900 --> 11:17.900]  Ten!
[11:17.900 --> 11:19.900]  Tak tak. Ten!
[11:19.900 --> 11:21.900]  Respect...
[11:21.900 --> 11:23.900]  Można to mówić...
[11:23.900 --> 11:25.720]  True.
[11:25.720 --> 11:26.320]  Prawda.
[11:26.320 --> 11:27.100]  Of brzm.
[11:27.100 --> 11:29.100]  To jest...
[11:29.100 --> 11:30.700]  hotel
[11:30.700 --> 11:32.700]  A Wasza profesja jest właśnie oni sami.
[11:32.700 --> 11:35.380]  Set oczy i kto i jak
[11:35.380 --> 11:36.500]  measure
[11:36.500 --> 11:40.500]  Takes that the piano
[11:40.500 --> 11:42.500]  Byéez!
[11:42.500 --> 11:46.500]  Nie wiem czy jest lepszy dyktyw.
[11:46.500 --> 11:48.500]  Który używasz?
[11:48.500 --> 11:50.500]  Diki.pl
[11:50.500 --> 11:55.500]  Jest to przesłanie po polsku do angielskiego.
[11:55.500 --> 11:57.500]  I nawet mają...
[11:57.500 --> 12:00.500]  Nie wiem...
[12:00.500 --> 12:04.500]  Nie mam kontaktu z nimi.
[12:04.500 --> 12:06.500]  Tak, to jest rzecz.
[12:06.500 --> 12:08.500]  Myślę, że nie mamy już kontaktu.
[12:08.500 --> 12:10.500]  W każdym razie, przepraszam.
[12:10.500 --> 12:12.500]  Czy ktoś ma pytania?
[12:12.500 --> 12:13.500]  Kiedy?
[12:13.500 --> 12:15.500]  Mam nadzieję, że teraz.
[12:15.500 --> 12:17.500]  Ok.
[12:17.500 --> 12:19.500]  Poza tym? Co to znaczy?
[12:19.500 --> 12:21.500]  Poza tym?
[12:25.500 --> 12:28.500]  Poza tym. Ok, więc...
[12:32.500 --> 12:35.500]  Chociaż... w zależności od czegoś...
[12:38.500 --> 12:40.500]  W zależności od tego,
[12:40.500 --> 12:42.500]  wszystko jest w porządku.
[12:42.500 --> 12:43.500]  Tak.
[12:47.500 --> 12:49.500]  Poza tym.
[12:49.500 --> 12:51.500]  Z czasami...
[12:51.500 --> 12:52.500]  Jak to powiedzieć?
[12:52.500 --> 12:54.500]  Z czasami.
[12:54.500 --> 12:56.500]  Może.
[13:00.500 --> 13:02.500]  Ok, to kolejna pytanie.
[13:02.500 --> 13:06.500]  To znaczy, że idę do miejsca kogoś, prawda?
[13:06.500 --> 13:08.500]  Tak.
[13:08.500 --> 13:10.500]  Byłem w Babci.
[13:10.500 --> 13:12.500]  Mówiłem o tym w Dupeniach, prawda?
[13:12.500 --> 13:13.500]  Tak.
[13:13.500 --> 13:14.500]  Więc...
[13:14.500 --> 13:16.500]  Więc idę. Jestem.
[13:16.500 --> 13:18.500]  Jestem. Tak, jestem.
[13:18.500 --> 13:19.500]  Więc...
[13:19.500 --> 13:20.500]  Jestem już tam.
[13:20.500 --> 13:21.500]  Więc...
[13:21.500 --> 13:22.500]  Więc...
[13:22.500 --> 13:23.500]  Więc...
[13:23.500 --> 13:25.500]  Jestem już tam.
[13:25.500 --> 13:26.500]  Tak.
[13:26.500 --> 13:28.500]  Jestem już tam.
[13:28.500 --> 13:29.500]  Tak.
[13:29.500 --> 13:31.500]  Więc...
[13:31.500 --> 13:32.500]  Więc...
[13:32.500 --> 13:33.500]  Więc...
[13:33.500 --> 13:34.500]  Więc...
[13:34.500 --> 13:35.500]  Więc...
[13:35.500 --> 13:36.500]  Więc...
[13:36.500 --> 13:37.500]  Więc...
[13:37.500 --> 13:38.500]  Nie wiem, jak odpowiedzieć na tę pytanie.
[13:38.500 --> 13:39.500]  Może...
[13:39.500 --> 13:40.500]  Może...
[13:40.500 --> 13:41.500]  Może...
[13:41.500 --> 13:42.500]  Czy to jest nieprzyjemna pytanie?
[13:42.500 --> 13:43.500]  Czy powinnam...
[13:43.500 --> 13:44.500]  Nie, nie, nie.
[13:44.500 --> 13:45.500]  To w porządku.
[13:45.500 --> 13:46.500]  Hmm...
[13:46.500 --> 13:47.500]  Hmm...
[13:47.500 --> 13:48.500]  Hmm...
[13:48.500 --> 13:49.500]  Hmm...
[13:49.500 --> 13:50.500]  Hmm...
[13:50.500 --> 13:51.500]  Hmm...
[13:51.500 --> 13:52.500]  Ok, tak.
[13:52.500 --> 13:55.500]  Wiesz, że w przypadku tego, że jesteś w miejscu kogoś,
[13:55.500 --> 13:57.500]  i spotkasz się z kimś,
[13:57.500 --> 13:59.500]  ale możesz również powiedzieć, że...
[13:59.500 --> 14:00.500]  że...
[14:00.500 --> 14:01.500]  że...
[14:01.500 --> 14:02.500]  że...
[14:02.500 --> 14:03.500]  że...
[14:03.500 --> 14:04.500]  że...
[14:04.500 --> 14:05.500]  że...
[14:05.500 --> 14:06.500]  że...
[14:06.500 --> 14:07.500]  że...
[14:07.500 --> 14:10.500]  że...
[14:10.500 --> 14:11.500]  że...
[14:11.500 --> 14:12.500]  że...
[14:12.500 --> 14:13.500]  żeby...
[14:14.500 --> 14:14.940]  żeby...
[14:14.940 --> 14:15.500]  żeby...
[14:15.500 --> 14:16.500]  żeby...
[14:16.500 --> 14:17.500]  który sposób...
[14:17.500 --> 14:18.500]  kiedy by nie pozwala brać sposobu rozifiesz...
[14:18.500 --> 14:19.300]  który sposób...
[14:19.300 --> 14:19.500]  kiedy by nie pozwala brać sposobu roz fishes...
[14:19.500 --> 14:20.500]  który sposób...
[14:20.500 --> 14:21.500]  który sposób...
[14:21.500 --> 14:28.500]  jakie dominantne możliwości ma 언�หนy
[14:28.500 --> 14:29.920]  jesteśmy wifi,
[14:29.920 --> 14:31.420]  weia instanty,
[14:31.420 --> 14:32.960]  czyli...
[14:32.960 --> 14:34.460]  jako system,
[14:34.460 --> 14:35.780]  kogo jak...
[14:35.780 --> 14:36.700]  kto kauaaa bangs...
[14:36.700 --> 14:40.700]  Chcesz to teraz znać. I to jest naprawdę dobre, ale dla mnie to bardzo zaskoczyło.
[14:41.700 --> 14:43.700]  Dobra, co jeszcze?
[14:44.700 --> 14:46.700]  Czy są jeszcze pytania?
[14:47.700 --> 14:51.700]  Co to ma do wydarzenia z Nioą w II Lainie?
[14:53.700 --> 14:54.700]  Z nią?
[14:55.700 --> 14:57.700]  Nie, nie, z nią.
[14:57.700 --> 14:59.700]  Nie, nie, nie.
[14:59.700 --> 15:01.700]  Aha, z nimi.
[15:01.700 --> 15:02.700]  Aha.
[15:02.700 --> 15:05.700]  Myślę, że to był cap. VIII.
[15:05.700 --> 15:06.700]  Tak.
[15:06.700 --> 15:09.700]  Albo cap. IX.
[15:11.700 --> 15:12.700]  Ale tak.
[15:12.700 --> 15:13.700]  Nie pamiętam.
[15:13.700 --> 15:16.700]  Tak, to jest cap. IX.
[15:16.700 --> 15:19.700]  To był cap. VII.
[15:19.700 --> 15:20.700]  Właściwie.
[15:20.700 --> 15:23.700]  To jest inkubacja tego słowa.
[15:23.700 --> 15:24.700]  Pronoms w języku.
[15:25.700 --> 15:27.700]  Dobra, co jeszcze?
[15:32.700 --> 15:40.700]  To może za chwilę.
[15:40.700 --> 15:43.700]  To spróbujmy zobaczyć zadanie VII.
[15:43.700 --> 15:48.700]  Mieliśmy odpowiedzieć prawda lub nieprawda.
[15:48.700 --> 15:50.700]  Dobra.
[15:50.700 --> 15:56.700]  Niektóre pytania są takie.
[15:56.700 --> 15:58.700]  Ja do końca nie wiem, jak je wypowiedzieć.
[15:58.700 --> 15:59.700]  I'm not sure what answer is.
[15:59.700 --> 16:00.700]  But we'll see.
[16:00.700 --> 16:01.700]  Dobra, pierwsze.
[16:01.700 --> 16:04.700]  Marta pisała raport roczny w styczniu.
[16:04.700 --> 16:05.700]  Nieprawda.
[16:05.700 --> 16:06.700]  Nieprawda.
[16:06.700 --> 16:08.700]  Kiedy pisała raport roczny?
[16:08.700 --> 16:09.700]  W lutym.
[16:09.700 --> 16:10.700]  W lutym.
[16:10.700 --> 16:12.700]  Ojciec Marty był chory w lutym.
[16:15.700 --> 16:16.700]  Nieprawda.
[16:16.700 --> 16:17.700]  Nieprawda.
[16:17.700 --> 16:18.700]  Kiedy był chory?
[16:18.700 --> 16:19.700]  Do marca.
[16:19.700 --> 16:20.700]  W marcu.
[16:20.700 --> 16:23.700]  Ojciec Marty leżał w szpitalu w kwietniu.
[16:24.700 --> 16:25.700]  Prawda.
[16:29.700 --> 16:30.700]  Leżał od marca do...
[16:31.700 --> 16:33.700]  Do maja, czyli w kwietniu też.
[16:33.700 --> 16:37.700]  Marta uczyła się do egzaminu z angielskiego w maju.
[16:37.700 --> 16:44.700]  Prawda.
[16:44.700 --> 16:45.700]  Nieprawda.
[16:45.700 --> 16:46.700]  A, nieprawda.
[16:46.700 --> 16:48.700]  Ile z egzaminu dzieje się?
[16:48.700 --> 16:50.700]  Z kwietnia.
[16:50.700 --> 16:53.700]  Egzamin był w czerwcu.
[16:53.700 --> 16:56.700]  Ona uczyła się w kwietniu.
[16:56.700 --> 16:59.700]  Czy mamy powiedziane, że w maju się uczyła lub nie uczyła?
[16:59.700 --> 17:00.700]  Nie mamy.
[17:00.700 --> 17:02.700]  Nie mamy informacji o tym egzaminie.
[17:02.700 --> 17:08.700]  Możemy tylko zapytać, że może, jeśli uczyła się w kwietniu, może uczyła się w maju.
[17:08.700 --> 17:10.700]  I egzamin był w czerwcu.
[17:10.700 --> 17:12.700]  Ale nie jesteśmy pewni.
[17:15.700 --> 17:18.700]  Egzamin z angielskiego był dwa miesiące temu.
[17:18.700 --> 17:19.700]  Nieprawda.
[17:19.700 --> 17:21.700]  Nieprawda. A kiedy był?
[17:21.700 --> 17:24.700]  Dwa... dwa... dwa...
[17:24.700 --> 17:26.700]  Dwa tygodnie temu.
[17:26.700 --> 17:28.700]  Dwa tygodnie temu.
[17:28.700 --> 17:29.700]  Dwa tygodnie temu. Okej.
[17:30.700 --> 17:33.700]  Nazna była w czerwcu w górach.
[17:33.700 --> 17:36.700]  Dlaczego?
[17:36.700 --> 17:38.700]  Dlaczego nieprawda?
[17:38.700 --> 17:40.700]  Nieprawda.
[17:40.700 --> 17:42.700]  Dlaczego nieprawda?
[17:42.700 --> 17:44.700]  Nieprawda.
[17:44.700 --> 17:47.700]  Bo ona powiedziała coś takiego jak...
[17:47.700 --> 17:50.700]  Był egzamin w...
[17:50.700 --> 17:52.700]  ...kiedyś...
[17:52.700 --> 17:56.700]  ...i dwa tygodnie później poszły do gór, prawda?
[17:56.700 --> 17:58.700]  Tak, to znaczy, że to się stało w początku czerwca.
